Code,CanonicalValue,LegacyValues
TX,TX - Home Economics,TX - Technology - Home Economics
U,U - Military Science General,U - Military Science - Military Science (General)
UA,UA - Armies & Military Organization,UA - Armies / Organization / Distribution / Military Situation|UA - Military Science - Armies:Organization/Distribution/Military Situation
UB,UB - Military Administration,UB - Military Science - Military Administration
UC,UC - Military Maintenance & Transport,UC - Maintenance and Transportation|UC - Military Science - Maintenance and Transportation
UD,UD - Infantry,UD - Military Science - Infantry
UE,UE - Cavalry & Armor,UE - Cavalry / Armor|UE - Military Science - Cavalry/Armor
UF,UF - Artillery,UF - Military Science - Artillery
UG,UG - Military Engineering & Air Forces,UG - Military Engineering / Air Forces|UG - Military Science - Military Engineering/Air Forces
UH,UH - Other Military Services,UH - Other Services|UH - Military Science - Other Services
V,V - Naval Science General,V - Naval Science - Naval Science (General)
VA,VA - Navies & Naval Organization,VA - Navies / Organization / Distribution / Naval Situation|VA - Naval Science - Navies: Organization/Distribution/Naval Situation
VB,VB - Naval Administration,VB - Naval Science - Naval Administration
VC,VC - Naval Maintenance,VC - Naval Science - Naval Maintenance
VD,VD - Naval Seamen,VD - Naval Science - Naval Seamen
VE,VE - Marines,VE - Naval Science - Marines
VF,VF - Naval Ordnance,VF - Naval Science - Naval Ordinance
VG,VG - Minor Naval Services,VG - Minor Services of Navies|VG - Naval Science - Minor Services of Navies
VK,VK - Navigation & Merchant Marine,VK - Navigation / Merchant Marine|VK - Naval Science - Navigation/Merchant Marine
VM,VM - Naval Architecture & Shipbuilding,VM - Naval Architecture / Shipbuilding / Marine Engineering|VM - Naval Science - Naval Architecture/Shipbuilding/Marine Engineering
Z,Z - Books & Libraries & Bibliography,Z - Books General / Writing / Paleography / Book Industries and Trade / Libraries / Bibliography|Z - Bibliography/Library Science/Information Resources (General) - Books (General)/Writing/Paleography/Book Industries and Trade/Libraries/Bibliography
ZA,ZA - Information Resources General,ZA - Bibliography/Library Science/Information Resources (General) - Information Resources (General)
